invoice_id,customer_id,issue_date,due_date,total_amount,currency
INV-2026-MH-001,MERID-001,2025-12-15,2026-01-15,12000.00,EUR
INV-2026-MH-002,MERID-001,2025-12-31,2026-01-31,8500.00,EUR
INV-2026-MH-003,MERID-001,2026-01-06,2026-02-05,8500.00,EUR
INV-2026-MH-004,MERID-001,2026-01-11,2026-02-10,15750.00,EUR
INV-2026-MH-005,MERID-001,2026-01-15,2026-02-14,4200.00,EUR
INV-2026-MH-006,MERID-001,2026-01-21,2026-02-20,22300.00,EUR
INV-2026-MH-007,MERID-001,2026-01-29,2026-02-28,3150.00,EUR
INV-2026-MH-008,MERID-001,2026-02-03,2026-03-05,9900.00,EUR
INV-2026-NX-001,NEXUS-001,2025-12-20,2026-01-20,6400.00,EUR
INV-2026-NX-002,NEXUS-001,2026-01-05,2026-02-04,11250.00,EUR
INV-2026-NX-003,NEXUS-001,2026-01-19,2026-02-18,7800.00,EUR
INV-2026-NX-004,NEXUS-001,2026-02-02,2026-03-04,6400.00,EUR
INV-2026-OR-001,ORBIT-001,2025-12-22,2026-01-21,5000.00,EUR
INV-2026-OR-002,ORBIT-001,2026-01-08,2026-02-07,5000.00,EUR
INV-2026-OR-003,ORBIT-001,2026-01-23,2026-02-22,13400.00,EUR
